name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Dave Jansen,20,4,0.9078947368421052,0.9227034120734908,0.9125,Orthodox,2.94,33.0,3.67,58.0,2.79,28.0,38.0,0.9,0,1,0,0,5.0
Tim Hague,21,13,0.8539325842696629,0.3376470925072294,0.9047619047619047,Orthodox,2.79,47.0,4.14,46.0,1.72,33.0,85.0,0.9,0,0,0,0,1.6153846153846154
Luigi Fioravanti,26,15,0.8831168831168831,0.9289242259968677,0.8641975308641976,Orthodox,2.23,42.0,2.21,69.0,3.76,63.0,67.0,0.9,0,0,1,0,1.7333333333333334
Carlos Newton,16,14,0.896103896103896,0.9289242259968677,0.9077441077441077,Orthodox,0.65,41.0,1.55,44.0,2.47,70.0,43.0,0.9,0,0,1,0,1.1428571428571428
Danilo Marques,11,4,1.0,1.0,0.9277108433734941,Orthodox,1.44,79.0,2.52,52.0,3.93,28.0,0.0,0.8,0,0,0,1,2.75
Renzo Gracie,13,7,0.8974358974358975,0.9023550919453704,0.9077178278330714,Orthodox,1.71,41.0,1.67,55.0,1.13,20.0,40.0,0.8,0,0,0,1,1.8571428571428572
Spencer Fisher,24,9,0.8815789473684211,0.9227034120734908,0.8500000000000001,Southpaw,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8,0,1,0,0,2.6666666666666665
Kurt Pellegrino,16,7,0.8947368421052632,0.9227034120734908,0.8750000000000001,Orthodox,2.45,43.0,1.94,63.0,2.9,54.0,69.0,0.8,0,1,0,0,2.2857142857142856
Trey Ogden,16,6,0.9342105263157895,0.9227034120734908,0.9,Orthodox,3.64,47.0,4.02,58.0,1.29,16.0,100.0,0.8,0,1,0,0,2.6666666666666665
Anderson Silva,34,11,0.9487179487179488,0.9023550919453704,0.9277108433734941,Southpaw,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,0,0,0,1,3.090909090909091
Carlston Harris,19,5,0.9350649350649349,0.9289242259968677,0.9382716049382716,Orthodox,2.93,49.0,2.44,53.0,2.05,29.0,55.0,0.8,0,0,1,0,3.8
Jorge Santiago,25,12,0.9480519480519479,0.9289242259968677,0.9259259259259259,Orthodox,1.69,35.0,2.62,56.0,0.58,30.0,52.0,0.8,0,0,1,0,2.0833333333333335
Gleison Tibau,33,14,0.9210526315789475,0.9227034120734908,0.8875000000000001,Southpaw,1.95,31.0,2.51,63.0,4.08,53.0,92.0,0.8,0,1,0,0,2.357142857142857
Josh Shockley,11,4,0.9605263157894737,0.9227034120734908,0.8944944598337952,Orthodox,1.4,33.0,1.75,60.0,0.0,0.0,61.0,0.8,0,1,0,0,2.75
Mark Coleman,16,10,0.9358974358974358,1.0,0.9036144578313253,Orthodox,1.88,52.0,2.62,40.0,3.89,40.0,50.0,0.8,0,0,0,1,1.6
Jimmy Ambriz,17,21,0.8314606741573034,0.4090817991811493,0.896911663216011,Southpaw,0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8,0,0,0,0,0.8095238095238095
Rogerio Nogueira,23,10,0.9487179487179488,1.0,0.9036144578313253,Southpaw,2.43,35.0,2.34,59.0,0.64,44.0,62.0,0.8,0,0,0,1,2.3
Maki Pitolo,13,9,0.8974358974358975,0.9023550919453704,0.9036144578313253,Orthodox,4.1,44.0,3.93,55.0,2.24,52.0,50.0,0.8,0,0,0,1,1.4444444444444444
Zhang Lipeng,23,9,0.9342105263157895,0.9227034120734908,0.8875000000000001,Southpaw,1.28,48.0,1.88,53.0,1.75,30.0,69.0,0.8,0,1,0,0,2.5555555555555554
Francisco Prado,12,1,0.9210526315789475,0.9227034120734908,0.8625,Orthodox,3.46,50.0,3.83,46.0,0.0,0.0,25.0,0.8,0,1,0,0,12.0
Jamie Varner,21,11,0.8947368421052632,0.9227034120734908,0.8875000000000001,Orthodox,2.92,34.0,2.55,58.0,3.49,53.0,66.0,0.8,0,1,0,0,1.9090909090909092
Seth Baczynski,20,14,0.974025974025974,0.9289242259968677,0.9259259259259259,Orthodox,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8,0,0,1,0,1.4285714285714286
Kenny Robertson,15,5,0.9090909090909091,0.9289242259968677,0.9135802469135802,Orthodox,3.72,47.0,3.02,52.0,1.37,26.0,57.0,0.8,0,0,1,0,3.0
Gary Goodridge,23,22,0.8426966292134831,0.3233601511724454,0.896911663216011,Orthodox,1.84,56.0,2.14,48.0,0.4,100.0,53.0,0.8,0,0,0,0,1.0454545454545454
Justin Buchholz,15,10,0.9473684210526316,0.9227034120734908,0.9125,Orthodox,2.35,26.0,4.14,51.0,0.0,0.0,33.0,0.8,0,1,0,0,1.5
Achmed Labasanov,7,4,0.8426966292134831,0.27921092564491656,0.896911663216011,Orthodox,0.75,39.0,1.1,46.0,3.0,100.0,0.0,0.8,0,0,0,0,1.75
Joseph Gigliotti,7,2,0.9102564102564102,0.9023550919453704,0.9077178278330714,Orthodox,1.04,39.0,2.92,45.0,1.56,100.0,50.0,0.8,0,0,0,1,3.5
Kevin Randleman,17,16,0.8974358974358975,1.0,0.9077178278330714,Orthodox,1.26,54.0,1.12,57.0,2.0,56.0,30.0,0.8,0,0,0,1,1.0625
Rory Singer,11,9,0.9487179487179488,0.9023550919453704,0.9277108433734941,Orthodox,2.55,39.0,2.42,63.0,0.39,25.0,64.0,0.8,0,0,0,1,1.2222222222222223
Alex Andrade,10,5,0.9102564102564102,0.9755887729863426,0.9077178278330714,Orthodox,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,0,0,0,1,2.0
Antonio Silva,19,12,0.8539325842696629,0.342857960889856,0.9761904761904762,Orthodox,2.89,45.0,3.09,50.0,0.82,29.0,66.0,0.8,0,0,0,0,1.5833333333333333
Nate Marquardt,35,19,0.923076923076923,0.9023550919453704,0.8915662650602411,Orthodox,2.71,49.0,2.32,55.0,1.87,51.0,70.0,0.8,0,0,0,1,1.8421052631578947
Kevin Burns,12,7,0.9090909090909091,0.9289242259968677,0.9135802469135802,Orthodox,2.74,38.0,4.3,52.0,0.28,50.0,47.0,0.8,0,0,1,0,1.7142857142857142
Vinny Magalhaes,14,9,0.9615384615384616,1.0,0.9036144578313253,Orthodox,2.14,24.0,3.97,68.0,1.55,44.0,66.0,0.8,0,0,0,1,1.5555555555555556
Frank Trigg,21,9,0.896103896103896,0.9289242259968677,0.8765432098765432,Southpaw,2.79,46.0,1.9,56.0,2.35,47.0,75.0,0.8,0,0,1,0,2.3333333333333335
Brock Jardine,12,6,0.922077922077922,0.9289242259968677,0.9077441077441077,Orthodox,1.06,30.0,3.34,56.0,0.0,0.0,14.0,0.8,0,0,1,0,2.0
Trey Waters,8,1,1.0,0.9289242259968677,0.9506172839506173,Orthodox,6.45,45.0,3.95,61.0,0.78,50.0,77.0,0.8,0,0,1,0,8.0
Sangwook Kim,9,3,0.9473684210526316,0.9227034120734908,0.9,Orthodox,5.57,51.0,7.94,48.0,1.65,18.0,66.0,0.8,0,1,0,0,3.0
Efrain Escudero,28,12,0.9078947368421052,0.9227034120734908,0.8875000000000001,Orthodox,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8,0,1,0,0,2.3333333333333335
John Allan,13,7,0.9358974358974358,1.0,0.9036144578313253,Orthodox,3.56,42.0,5.74,52.0,1.4,71.0,50.0,0.8,0,0,0,1,1.8571428571428572
Royce Gracie,15,2,0.9480519480519479,0.9562703288760389,0.9077441077441077,Southpaw,0.88,41.0,1.13,37.0,0.0,0.0,66.0,0.8,0,0,1,0,7.5
James Head,9,4,0.9480519480519479,0.9289242259968677,0.9012345679012345,Orthodox,2.75,48.0,3.11,49.0,0.41,100.0,66.0,0.8,0,0,1,0,2.25
Kevin Lee,18,8,0.896103896103896,0.9289242259968677,0.9506172839506173,Orthodox,3.88,42.0,3.6,50.0,3.18,43.0,75.0,0.8,0,0,1,0,2.25
Naoyuki Kotani,34,14,0.8947368421052632,0.9227034120734908,0.825,Southpaw,1.02,31.0,2.89,50.0,0.83,16.0,46.0,0.8,0,1,0,0,2.4285714285714284
Joseph Holmes,8,4,0.9743589743589743,0.9023550919453704,0.963855421686747,Orthodox,2.88,53.0,3.08,54.0,1.49,40.0,50.0,0.8,0,0,0,1,2.0
Takanori Gomi,35,14,0.8815789473684211,0.9227034120734908,0.8750000000000001,Southpaw,3.81,41.0,3.52,60.0,1.23,65.0,63.0,0.8,0,1,0,0,2.5
Derrick Krantz,22,12,0.9090909090909091,0.9289242259968677,0.8888888888888888,Orthodox,2.07,37.0,4.03,50.0,3.18,50.0,0.0,0.8,0,0,1,0,1.8333333333333333
Gregor Gillespie,14,1,0.8815789473684211,0.9227034120734908,0.8875000000000001,Orthodox,3.74,52.0,2.3,57.0,6.86,48.0,100.0,0.8,0,1,0,0,14.0
Tim Boetsch,21,13,0.923076923076923,0.9023550919453704,0.8915662650602411,Orthodox,2.93,50.0,2.9,57.0,1.45,34.0,59.0,0.8,0,0,0,1,1.6153846153846154
Mike Kyle,22,14,0.9743589743589743,1.0,0.9277108433734941,Orthodox,3.93,51.0,3.35,49.0,1.33,62.0,50.0,0.8,0,0,0,1,1.5714285714285714
Justin Haskins,7,6,0.9090909090909091,0.9289242259968677,0.9077441077441077,Orthodox,1.51,33.0,2.65,54.0,1.62,40.0,52.0,0.8,0,0,1,0,1.1666666666666667
Jon Fitch,30,7,0.9350649350649349,0.9289242259968677,0.9135802469135802,Orthodox,2.61,50.0,1.65,54.0,3.6,51.0,56.0,0.8,0,0,1,0,4.285714285714286
Benson Henderson,24,7,0.896103896103896,0.9289242259968677,0.8641975308641976,Southpaw,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8,0,0,1,0,3.4285714285714284
Alexander Otsuka,5,13,0.9358974358974358,1.0,0.9077178278330714,Orthodox,0.9,55.0,1.16,51.0,1.51,43.0,53.0,0.8,0,0,0,1,0.38461538461538464
Chris Weidman,15,7,0.9487179487179488,0.9023550919453704,0.9397590361445783,Orthodox,2.98,43.0,3.27,50.0,3.6,43.0,65.0,0.8,0,0,0,1,2.142857142857143
Antonio Carlos Junior,11,5,0.9487179487179488,0.9023550919453704,0.9518072289156627,Orthodox,1.95,42.0,2.14,52.0,3.42,39.0,53.0,0.8,0,0,0,1,2.2
Craig White,14,9,0.961038961038961,0.9289242259968677,0.9382716049382716,Orthodox,1.23,40.0,3.28,39.0,0.0,0.0,50.0,0.8,0,0,1,0,1.5555555555555556
Fabio Nascimento,11,6,0.8974358974358975,0.9023550919453704,0.9077178278330714,Orthodox,2.94,38.0,4.63,55.0,0.0,0.0,55.0,0.8,0,0,0,1,1.8333333333333333
Diego Sanchez,31,13,0.9090909090909091,0.9289242259968677,0.8888888888888888,Southpaw,2.69,37.0,3.02,56.0,1.51,24.0,46.0,0.8,0,0,1,0,2.3846153846153846
Chris Leben,22,11,0.9102564102564102,0.9023550919453704,0.8795180722891566,Southpaw,2.87,42.0,2.87,52.0,1.14,41.0,53.0,0.8,0,0,0,1,2.0
Wellington Turman,18,8,0.9350649350649349,0.9289242259968677,0.8888888888888888,Orthodox,3.23,51.0,4.17,45.0,1.55,20.0,42.0,0.8,0,0,1,0,2.25
Kyle Noke,22,10,0.9480519480519479,0.9289242259968677,0.9382716049382716,Southpaw,3.23,50.0,2.09,64.0,1.53,54.0,66.0,0.8,0,0,1,0,2.2
Alistair Overeem,47,19,0.8539325842696629,0.3441463624130329,0.9523809523809522,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,0,0,0,0,2.473684210526316
Tony Sims,12,4,0.9342105263157895,0.9227034120734908,0.8750000000000001,Southpaw,1.81,63.0,0.76,65.0,0.71,50.0,50.0,0.7,0,1,0,0,3.0
Renato Moicano,17,5,0.9342105263157895,0.9227034120734908,0.9,Orthodox,4.75,47.0,4.07,60.0,1.66,46.0,74.0,0.7,0,1,0,0,3.4
Khama Worthy,16,9,0.9342105263157895,0.9227034120734908,0.925,Orthodox,4.18,48.0,4.45,46.0,0.0,0.0,57.0,0.7,0,1,0,0,1.7777777777777777
Joaquim Silva,13,5,0.8947368421052632,0.9227034120734908,0.8625,Southpaw,3.61,41.0,4.51,54.0,0.45,60.0,64.0,0.7,0,1,0,0,2.6
George Sullivan,17,7,0.9350649350649349,0.9289242259968677,0.9012345679012345,Orthodox,3.53,39.0,2.42,57.0,1.37,20.0,38.0,0.7,0,0,1,0,2.4285714285714284
Ramazan Emeev,20,6,0.9090909090909091,0.9289242259968677,0.9382716049382716,Southpaw,2.53,45.0,2.14,65.0,2.37,29.0,66.0,0.7,0,0,1,0,3.3333333333333335
Mitsuhiro Ishida,20,8,0.9166666666666666,1.0,0.9166666666666666,Southpaw,1.46,41.0,1.13,61.0,4.76,53.0,33.0,0.7,1,0,0,0,2.5
Ian Freeman,20,7,0.7977528089887641,0.29220946545652365,0.896911663216011,Orthodox,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7,0,0,0,0,2.857142857142857
Diego Saraiva,22,20,0.8684210526315789,0.9227034120734908,0.8944944598337952,Orthodox,1.64,32.0,3.58,62.0,1.33,40.0,0.0,0.7,0,1,0,0,1.1
Brian Camozzi,7,5,0.961038961038961,0.9289242259968677,0.9629629629629629,Orthodox,3.15,26.0,6.39,54.0,0.0,0.0,0.0,0.7,0,0,1,0,1.4
Matt Mitrione,12,5,0.8426966292134831,0.3441463624130329,0.9761904761904762,Switch,3.55,50.0,2.79,64.0,0.0,0.0,55.0,0.7,0,0,0,0,2.4
Joe Duffy,16,5,0.9210526315789475,0.9227034120734908,0.9125,Orthodox,2.68,34.0,3.78,54.0,0.96,66.0,64.0,0.7,0,1,0,0,3.2
David Kaplan,3,4,0.8815789473684211,0.9227034120734908,0.8944944598337952,Orthodox,2.88,46.0,4.32,67.0,4.88,43.0,0.0,0.7,0,1,0,0,0.75
Rich Franklin,29,7,0.9358974358974358,0.9023550919453704,0.9156626506024096,Southpaw,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7,0,0,0,1,4.142857142857143
Don Madge,9,3,0.9473684210526316,0.9227034120734908,0.9,Southpaw,2.08,52.0,0.74,67.0,2.22,25.0,80.0,0.7,0,1,0,0,3.0
Brad Scott,11,6,0.9480519480519479,0.9289242259968677,0.9382716049382716,Orthodox,3.52,41.0,4.31,57.0,0.32,15.0,63.0,0.7,0,0,1,0,1.8333333333333333
Matt Sayles,8,4,0.8815789473684211,0.9227034120734908,0.8500000000000001,Orthodox,4.83,41.0,2.81,61.0,0.36,16.0,81.0,0.7,0,1,0,0,2.0
Mauricio Rua,27,14,0.9358974358974358,1.0,0.9156626506024096,Orthodox,3.57,50.0,2.79,54.0,2.01,48.0,49.0,0.7,0,0,0,1,1.9285714285714286
Niklas Stolze,12,6,0.9605263157894737,0.9227034120734908,0.925,Switch,2.12,48.0,2.25,49.0,0.66,100.0,55.0,0.7,0,1,0,0,2.0
Drew McFedries,12,7,0.923076923076923,0.9023550919453704,0.8674698795180723,Southpaw,5.13,51.0,4.56,52.0,1.42,100.0,56.0,0.7,0,0,0,1,1.7142857142857142
Niko Price,15,7,0.9350649350649349,0.9289242259968677,0.9382716049382716,Orthodox,5.46,42.0,5.6,48.0,0.7,20.0,64.0,0.7,0,0,1,0,2.142857142857143
Marcio Alexandre Junior,17,4,0.923076923076923,0.9023550919453704,0.9036144578313253,Southpaw,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,0,0,0,1,4.25
Olaf Alfonso,8,12,0.961038961038961,0.9289242259968677,0.9077441077441077,Orthodox,1.65,38.0,4.77,53.0,0.37,7.0,22.0,0.7,0,0,1,0,0.6666666666666666
Trevor Smith,15,10,0.9615384615384616,0.9023550919453704,0.9036144578313253,Orthodox,3.29,55.0,3.31,51.0,1.7,32.0,60.0,0.7,0,0,0,1,1.5
Daniel Sarafian,10,6,0.8846153846153846,0.9023550919453704,0.8795180722891566,Orthodox,2.23,46.0,3.1,58.0,0.36,7.0,53.0,0.7,0,0,0,1,1.6666666666666667
Heath Herring,28,16,0.8539325842696629,0.3246771838405818,0.9285714285714285,Orthodox,2.37,50.0,1.77,54.0,1.22,50.0,32.0,0.7,0,0,0,0,1.75
Dustin Stoltzfus,15,5,0.923076923076923,0.9023550919453704,0.9036144578313253,Orthodox,3.49,44.0,3.29,48.0,2.4,40.0,46.0,0.7,0,0,0,1,3.0
Chris Heatherly,9,4,0.9078947368421052,0.9227034120734908,0.8944944598337952,Orthodox,1.08,45.0,2.67,52.0,3.39,50.0,100.0,0.7,0,1,0,0,2.25
Rodrigo Nascimento,11,1,0.8314606741573034,0.3194663154579552,0.9523809523809522,Orthodox,4.31,48.0,4.76,43.0,1.2,33.0,77.0,0.7,0,0,0,0,11.0
Brandon Thatch,11,5,0.961038961038961,0.9289242259968677,0.9135802469135802,Switch,2.7,42.0,3.63,52.0,1.36,66.0,50.0,0.7,0,0,1,0,2.2
Mike Russow,15,3,0.8202247191011235,0.3311764537463853,0.869047619047619,Orthodox,1.55,47.0,2.9,59.0,4.66,43.0,0.0,0.7,0,0,0,0,5.0
Buddy Roberts,12,3,0.9487179487179488,0.9023550919453704,0.9077178278330714,Orthodox,2.17,34.0,2.08,70.0,0.0,0.0,76.0,0.7,0,0,0,1,4.0
Vinicius Queiroz,8,4,0.8876404494382022,0.2857101955507201,0.896911663216011,Orthodox,3.67,51.0,4.1,41.0,5.07,70.0,100.0,0.7,0,0,0,0,2.0
Forrest Griffin,19,7,0.9615384615384616,1.0,0.9277108433734941,Orthodox,4.38,36.0,2.81,61.0,1.05,48.0,57.0,0.7,0,0,0,1,2.7142857142857144
Don Frye,20,9,0.8202247191011235,0.2844217940275432,0.896911663216011,Orthodox,2.87,64.0,3.57,37.0,0.91,57.0,45.0,0.7,0,0,0,0,2.2222222222222223
Gray Maynard,13,7,0.9078947368421052,0.9227034120734908,0.8750000000000001,Orthodox,1.92,32.0,2.64,66.0,2.91,47.0,81.0,0.7,0,1,0,0,1.8571428571428572
James Vick,13,5,0.986842105263158,0.9227034120734908,0.9500000000000001,Orthodox,4.13,39.0,3.31,60.0,0.26,33.0,57.0,0.7,0,1,0,0,2.6
Diego Ferreira,18,5,0.9078947368421052,0.9227034120734908,0.925,Orthodox,4.66,37.0,3.42,56.0,0.71,22.0,63.0,0.7,0,1,0,0,3.6
Alex Stiebling,19,11,0.9487179487179488,1.0,0.9077178278330714,Southpaw,1.77,42.0,1.45,52.0,0.35,66.0,66.0,0.7,0,0,0,1,1.7272727272727273
Scott Askham,14,4,0.9615384615384616,0.9023550919453704,0.9036144578313253,Southpaw,3.03,46.0,3.52,52.0,0.44,18.0,65.0,0.7,0,0,0,1,3.5
Keith Jardine,17,11,0.9487179487179488,0.9023550919453704,0.9156626506024096,Orthodox,3.25,36.0,2.98,59.0,1.18,45.0,62.0,0.7,0,0,0,1,1.5454545454545454
David Michaud,11,3,0.9078947368421052,0.9227034120734908,0.8944944598337952,Orthodox,3.25,43.0,4.45,54.0,2.53,58.0,77.0,0.7,0,1,0,0,3.6666666666666665
Travis Lutter,10,6,0.9102564102564102,0.9023550919453704,0.9036144578313253,Orthodox,0.41,32.0,2.42,42.0,1.95,24.0,30.0,0.7,0,0,0,1,1.6666666666666667
Anthony Smith,37,18,0.9743589743589743,1.0,0.9156626506024096,Orthodox,3.16,48.0,4.45,46.0,0.52,28.0,48.0,0.7,0,0,0,1,2.0555555555555554
John Polakowski,2,2,0.9210526315789475,0.9227034120734908,0.8944944598337952,Orthodox,2.6,26.0,2.83,50.0,0.0,0.0,87.0,0.7,0,1,0,0,1.0
Vicente Luque,22,9,0.922077922077922,0.9289242259968677,0.9259259259259259,Orthodox,5.17,52.0,5.15,52.0,1.04,60.0,62.0,0.7,0,0,1,0,2.4444444444444446
David Baron,17,4,0.8684210526315789,0.9227034120734908,0.8944944598337952,Switch,1.17,30.0,2.1,56.0,0.0,0.0,14.0,0.7,0,1,0,0,4.25
Ricardo Abreu,5,1,0.9102564102564102,0.9023550919453704,0.9077178278330714,Orthodox,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,0,0,0,1,5.0
DaMarques Johnson,15,15,0.9480519480519479,0.9289242259968677,0.9259259259259259,Orthodox,2.11,37.0,3.75,51.0,1.18,55.0,19.0,0.7,0,0,1,0,1.0
Darrell Horcher,13,4,0.9210526315789475,0.9227034120734908,0.8750000000000001,Southpaw,2.05,44.0,4.21,39.0,0.35,50.0,47.0,0.7,0,1,0,0,3.25
Damien Brown,17,12,0.9210526315789475,0.9227034120734908,0.8500000000000001,Orthodox,3.66,38.0,4.86,50.0,0.68,27.0,53.0,0.7,0,1,0,0,1.4166666666666667
Tim Kennedy,18,6,0.9102564102564102,0.9023550919453704,0.8915662650602411,Orthodox,2.78,47.0,1.84,62.0,2.58,35.0,70.0,0.7,0,0,0,1,3.0
Yves Edwards,42,22,0.9078947368421052,0.9227034120734908,0.9125,Southpaw,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7,0,1,0,0,1.9090909090909092
Thiago Silva,19,6,0.9487179487179488,1.0,0.8915662650602411,Orthodox,3.92,50.0,2.55,67.0,1.03,47.0,70.0,0.7,0,0,0,1,3.1666666666666665
Brad Blackburn,18,13,0.9090909090909091,0.9289242259968677,0.9012345679012345,Orthodox,4.55,35.0,3.59,65.0,0.93,50.0,76.0,0.7,0,0,1,0,1.3846153846153846
Yancy Medeiros,15,8,0.9210526315789475,0.9227034120734908,0.9375,Orthodox,4.36,37.0,5.67,47.0,0.33,50.0,73.0,0.7,0,1,0,0,1.875
Ian Heinisch,14,5,0.9102564102564102,0.9023550919453704,0.8674698795180723,Orthodox,3.25,50.0,2.98,59.0,1.02,17.0,59.0,0.7,0,0,0,1,2.8
Katsuyori Shibata,4,11,0.9473684210526316,1.0,0.8944944598337952,Orthodox,2.06,35.0,2.4,53.0,0.49,50.0,53.0,0.7,0,1,0,0,0.36363636363636365
Steve Cantwell,7,6,0.9487179487179488,0.9023550919453704,0.9036144578313253,Orthodox,3.63,34.0,5.76,55.0,0.65,30.0,80.0,0.7,0,0,0,1,1.1666666666666667
Jeff Monson,60,26,0.7752808988764045,0.3207833481260916,0.8809523809523809,Orthodox,0.97,30.0,2.87,59.0,1.06,12.0,66.0,0.7,0,0,0,0,2.3076923076923075
Guto Inocente,7,4,0.9615384615384616,1.0,0.9077178278330714,Orthodox,4.13,66.0,2.92,54.0,0.67,33.0,66.0,0.7,0,0,0,1,1.75
Leo Kuntz,18,4,0.9210526315789475,0.9227034120734908,0.8944944598337952,Orthodox,1.68,32.0,3.8,45.0,1.99,25.0,33.0,0.7,0,1,0,0,4.5
Devin Powell,9,4,0.9473684210526316,0.9227034120734908,0.9125,Orthodox,2.88,41.0,3.67,51.0,0.0,0.0,0.0,0.6,0,1,0,0,2.25
Marcus LeVesseur,22,7,0.9078947368421052,0.9227034120734908,0.8750000000000001,Southpaw,2.55,64.0,3.7,37.0,3.89,36.0,83.0,0.6,0,1,0,0,3.142857142857143
Vitor Belfort,26,14,0.923076923076923,0.9023550919453704,0.8915662650602411,Southpaw,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6,0,0,0,1,1.8571428571428572
Tito Ortiz,19,12,0.9615384615384616,1.0,0.8915662650602411,Orthodox,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,0,0,0,1,1.5833333333333333
Bryan Battle,11,2,0.9480519480519479,0.9289242259968677,0.9506172839506173,Orthodox,4.52,54.0,3.73,42.0,0.94,25.0,45.0,0.6,0,0,1,0,5.5
Doug Evans,13,10,0.9078947368421052,0.9227034120734908,0.8944944598337952,Orthodox,1.79,35.0,2.55,55.0,3.19,83.0,69.0,0.6,0,1,0,0,1.3
Chris Tuchscherer,21,4,0.8314606741573034,0.3350702894608756,0.9047619047619047,Orthodox,1.35,31.0,3.17,47.0,1.19,18.0,0.0,0.6,0,0,0,0,5.25
Yoshihisa Yamamoto,14,25,0.8314606741573034,0.2857101955507201,0.896911663216011,Southpaw,1.65,38.0,3.05,53.0,1.0,20.0,50.0,0.6,0,0,0,0,0.56
Joe Riggs,44,17,0.923076923076923,0.9023550919453704,0.8433734939759037,Southpaw,2.41,51.0,1.69,57.0,2.45,55.0,62.0,0.6,0,0,0,1,2.588235294117647
Kazuyuki Fujita,15,12,0.8089887640449438,0.3051793741231712,0.896911663216011,Orthodox,1.05,49.0,1.99,52.0,2.78,36.0,85.0,0.6,0,0,0,0,1.25
Jonathan Goulet,23,12,0.9350649350649349,0.9289242259968677,0.9012345679012345,Orthodox,1.61,41.0,2.01,46.0,4.17,70.0,45.0,0.6,0,0,1,0,1.9166666666666667
Ebenezer Fontes Braga,13,7,0.923076923076923,0.9706420045166148,0.9077178278330714,Orthodox,2.42,50.0,0.42,71.0,0.0,0.0,90.0,0.6,0,0,0,1,1.8571428571428572
Luigi Vendramini,9,3,0.8947368421052632,0.9227034120734908,0.9125,Orthodox,2.82,40.0,3.82,57.0,1.11,15.0,100.0,0.6,0,1,0,0,3.0
Clay Guida,38,21,0.8815789473684211,0.9227034120734908,0.8750000000000001,Orthodox,2.64,33.0,3.01,61.0,3.13,36.0,67.0,0.6,0,1,0,0,1.8095238095238095
Phil Davis,17,4,0.9487179487179488,1.0,0.9518072289156627,Orthodox,2.85,34.0,1.33,72.0,2.99,38.0,72.0,0.6,0,0,0,1,4.25
Kalib Starnes,17,11,0.9615384615384616,0.9023550919453704,0.8915662650602411,Orthodox,2.71,48.0,4.43,53.0,1.46,33.0,25.0,0.6,0,0,0,1,1.5454545454545454
Kazuhiro Nakamura,21,13,0.9102564102564102,1.0,0.8433734939759037,Orthodox,1.56,37.0,1.83,59.0,1.73,36.0,42.0,0.6,0,0,0,1,1.6153846153846154
Edgar Garcia,14,5,0.9090909090909091,0.9289242259968677,0.8765432098765432,Orthodox,3.16,29.0,4.23,60.0,2.21,57.0,50.0,0.6,0,0,1,0,2.8
Kuniyoshi Hironaka,23,9,0.9210526315789475,1.0,0.8750000000000001,Orthodox,1.98,40.0,3.01,54.0,1.91,30.0,25.0,0.6,0,1,0,0,2.5555555555555554
Crosley Gracie,2,2,0.8846153846153846,0.926766318959028,0.9077178278330714,Orthodox,1.69,37.0,1.54,60.0,3.46,85.0,50.0,0.6,0,0,0,1,1.0
Igor Araujo,25,9,0.9480519480519479,0.9289242259968677,0.9506172839506173,Orthodox,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6,0,0,1,0,2.7777777777777777
Mark Munoz,14,6,0.923076923076923,0.9023550919453704,0.855421686746988,Orthodox,3.12,51.0,2.26,57.0,3.17,29.0,57.0,0.6,0,0,0,1,2.3333333333333335
Derek Brunson,23,9,0.9358974358974358,0.9023550919453704,0.9277108433734941,Southpaw,3.51,47.0,3.05,51.0,3.14,33.0,85.0,0.6,0,0,0,1,2.5555555555555554
Michel Prazeres,26,4,0.857142857142857,0.9289242259968677,0.8271604938271605,Orthodox,2.38,47.0,2.51,57.0,3.94,36.0,47.0,0.6,0,0,1,0,6.5
TJ Grant,21,5,0.9210526315789475,0.9227034120734908,0.9,Orthodox,3.95,54.0,3.21,56.0,1.63,43.0,36.0,0.6,0,1,0,0,4.2
Jake Collier,13,10,0.8426966292134831,0.29870873536232717,0.9285714285714285,Orthodox,5.8,44.0,5.08,50.0,0.71,33.0,67.0,0.6,0,0,0,0,1.3
Philip De Fries,12,6,0.8651685393258427,0.3246771838405818,0.9404761904761904,Orthodox,2.3,47.0,3.0,37.0,3.29,42.0,100.0,0.6,0,0,0,0,2.0
