name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Mike Ciesnolevicz,19,4,0.8089887640449438,0.3051793741231712,0.896911663216011,Orthodox,0.51,50.0,4.62,57.0,0.0,0.0,20.0,5.1,0,0,0,0,4.75
Alex Schoenauer,15,10,0.9615384615384616,0.9023550919453704,0.9077178278330714,Orthodox,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,0,0,0,1,1.5
TJ Waldburger,16,9,0.922077922077922,0.9289242259968677,0.9259259259259259,Orthodox,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,0,0,1,0,1.7777777777777777
Nik Theotikos,6,2,0.9392728849250589,0.9023550919453704,0.9077178278330714,Orthodox,0.0,0.0,5.48,19.0,0.0,0.0,0.0,4.8,0,0,0,1,3.0
Valentijn Overeem,30,32,0.8426966292134831,0.29870873536232717,0.896911663216011,Orthodox,0.93,34.0,1.49,58.0,1.86,50.0,0.0,4.7,0,0,0,0,0.9375
Keith Rockel,12,4,0.923076923076923,0.9023550919453704,0.9077178278330714,Orthodox,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6,0,0,0,1,3.0
Mark Hughes,6,2,0.8846153846153846,1.0,0.9077178278330714,Southpaw,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,0,0,0,1,3.0
Branden Lee Hinkle,17,11,0.8426966292134831,0.3051793741231712,0.896911663216011,Orthodox,2.61,69.0,3.91,26.0,4.34,57.0,66.0,4.3,0,0,0,0,1.5454545454545454
Wayne Cole,16,25,0.9358974358974358,1.0,0.9077178278330714,Orthodox,0.57,20.0,8.33,27.0,4.31,25.0,0.0,4.3,0,0,0,1,0.64
Genki Sudo,15,4,0.9078947368421052,0.9227034120734908,0.8944944598337952,Orthodox,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,0,1,0,0,3.75
Yasuhito Namekawa,25,16,0.8846153846153846,1.0,0.9077178278330714,Orthodox,0.14,50.0,3.65,38.0,2.11,25.0,0.0,4.2,0,0,0,1,1.5625
Sean McCorkle,17,7,0.8876404494382022,0.3441463624130329,0.9642857142857143,Orthodox,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2,0,0,0,0,2.4285714285714284
